location,description,url,followers_count,friends_count,listedcount,created_at,favourites_count,verified,statuses_count,lang,default_profile,bot
0,91,28,1129,7,2,727,0,0,23557,10,0,1
0,0,28,0,22,0,239,0,0,1,10,1,1
0,0,28,3,0,3,583,0,0,1050,10,1,1
411,858,98,505,13,49,711,0,0,5109,10,0,1
0,783,28,15,0,11,706,0,0,31365,11,1,1
66,578,309,16,1,4,353,0,0,1832,10,0,1
427,0,28,41,394,0,237,3,0,4,10,1,1
224,57,125,549,370,12,863,12,0,4658,10,0,1
0,376,28,0,60,0,756,0,0,10,10,1,1
0,748,28,0,43,4,521,48,0,86,10,1,1
0,168,28,102,3,21,968,0,0,10873,10,1,1
0,56,193,578,17,96,631,0,0,5234,10,0,1
0,850,28,1,34,0,994,68,0,98,10,1,1
29,55,77,1456,12,122,1032,4,0,72096,10,0,1
0,272,28,0,1,0,916,0,0,0,10,0,1
204,0,28,14,253,0,218,2,0,0,10,1,1
260,547,262,506,11,48,986,5,0,41052,10,1,1
0,83,28,307,0,21,946,1,0,423,10,0,1
0,705,28,518,5,51,680,0,0,94196,10,1,1
0,0,28,0,118,0,778,0,0,0,10,1,1
0,0,369,1,4,0,46,22,0,4,3,1,1
0,73,28,50,2,10,531,0,0,1228,10,1,1
217,442,28,3,336,0,257,29,0,39,10,1,1
0,559,63,394,0,48,691,0,0,7956,10,1,1
116,712,134,428,410,13,363,630,0,16989,10,1,1
0,265,28,630,4,42,382,96,0,15036,10,0,1
0,741,85,928,20,23,384,7,0,3421,10,1,1
179,605,28,44,5,11,633,3,0,2396,10,1,1
0,498,39,20,0,7,586,0,0,50,10,1,1
341,74,179,5831,57,354,554,16,0,457649,10,0,1
0,173,287,26,0,6,487,0,0,6832,10,1,1
0,840,259,10014,27,326,378,0,0,14473,11,0,1
315,496,269,8939,6003,516,103,710,0,5846,10,1,1
373,467,28,2,386,0,185,28,0,41,10,1,1
442,889,264,467,956,0,919,261,0,5748,10,0,1
262,387,195,94,1,25,1037,0,0,2383,10,0,1
351,360,327,6664,1,196,453,0,0,6025,10,1,1
248,632,28,0,335,0,190,24,0,32,10,1,1
0,822,368,4,0,1,287,0,0,1469,14,0,1
0,477,28,37,35,8,567,0,0,9,10,1,1
266,726,28,0,247,0,82,28,0,24,10,1,1
256,333,28,14,214,0,221,0,0,3,10,1,1
0,599,121,537,1,18,969,0,0,281,10,1,1
258,598,166,284,66,30,638,0,0,5986,10,1,1
0,0,28,0,27,0,1002,38,0,60,10,1,1
0,499,82,80,0,29,828,0,0,10794,10,1,1
0,262,28,120,836,0,525,1,0,8,10,1,1
426,869,28,293,344,2,322,0,0,8638,10,0,1
20,23,369,243,4,4,10,0,0,69595,1,1,1
0,186,28,18,3,8,543,1,0,1456,10,1,1
368,356,250,79,80,3,714,23,0,901,10,0,1
394,428,131,576,31,60,350,8,0,2370,10,1,1
0,305,28,2,42,1,629,29,0,39,10,1,1
234,124,28,0,349,0,110,42,0,77,10,1,1
41,561,246,21,0,7,549,0,0,1343,8,1,1
365,729,28,16,1,4,886,1,0,2001,10,1,1
0,833,28,239,0,53,1043,0,0,22089,10,1,1
0,864,163,9968,2,185,653,3399,0,8782,10,0,1
280,739,28,0,223,0,99,24,0,24,10,1,1
0,0,28,8,86,0,289,12,0,3,10,1,1
0,51,28,906,2434,0,693,277,0,528,10,1,1
147,268,28,1,352,0,280,29,0,33,10,1,1
289,202,135,1419,1,61,365,5,0,32244,10,0,1
204,659,28,39,0,0,412,1,0,303,10,1,1
231,483,302,835,2290,22,415,74533,0,17259,10,1,1
295,216,28,2,360,0,184,27,0,60,10,1,1
0,482,28,856,1078,7,893,0,0,130262,10,1,1
278,736,75,240,45,22,435,66,0,1993,10,0,1
0,209,29,4213,0,220,970,0,0,4364,10,0,1
115,562,28,77,490,0,734,1,0,15,10,0,1
189,417,28,0,336,0,182,23,0,23,10,1,1
0,789,28,172,5,21,688,5,0,3497,10,0,1
0,48,71,213,0,38,768,0,0,1063,10,1,1
57,768,300,379,12,38,729,0,0,22371,10,0,1
0,98,28,335,0,32,407,1,0,17375,10,0,1
363,0,356,102,86,0,310,0,0,1,10,1,1
0,461,189,52,0,15,904,0,0,93310,10,1,1
113,754,150,5631,6,188,803,48,0,6574,10,0,1
308,0,28,10,15,0,476,13,0,3,10,1,1
239,713,223,66,1,7,248,4,0,70,10,0,1
0,790,28,4965,0,244,720,1,0,67870,10,0,1
15,9,9,14917,227,27,48,919,0,53398,1,0,1
172,255,28,20,0,16,817,0,0,42453,10,1,1
370,115,28,803,31,34,323,0,0,808,10,0,1
0,296,258,164,0,35,348,51,0,2714,10,1,1
0,412,28,17,1,8,503,0,0,1522,10,1,1
0,444,28,9,0,5,553,0,0,6,10,1,1
0,678,28,9632,0,239,610,0,0,13936,10,0,1
0,0,28,0,86,0,780,0,0,0,10,1,1
0,0,369,6,109,0,37,0,0,2,1,1,1
196,142,88,1784,43,89,819,5,0,389,10,0,1
239,884,132,79,0,3,349,5,0,4007,10,0,1
287,424,28,96,29,10,1020,0,0,195,10,1,1
277,585,84,600,818,40,558,651,0,1787,10,0,1
0,221,28,52,2,5,274,0,0,702,11,1,1
0,551,28,184,0,8,269,0,0,1125,10,1,1
361,643,322,945,2027,3,566,2847,0,13935,10,0,1
414,802,313,67,0,17,824,0,0,886,10,1,1
0,832,28,1,29,0,1039,48,0,72,10,1,1
0,0,353,338,471,5,551,35,0,260,10,0,1
0,645,28,2925,3,139,454,0,0,708,10,1,1
0,0,225,10,0,2,114,0,0,10370,11,0,1
0,0,28,47,197,0,242,62,0,1,10,1,1
0,0,28,54,1351,0,990,2,0,6,10,1,1
0,0,369,0,9,0,45,0,0,0,1,1,1
0,871,98,209,16,20,733,0,0,21278,11,0,1
0,604,28,335,3,22,424,2,0,4934,19,0,1
214,120,28,1,369,0,255,28,0,36,10,1,1
39,99,28,62,0,19,305,0,0,4106,10,1,1
0,244,175,155,0,34,640,0,0,14702,10,1,1
0,328,28,125,1,30,704,0,0,3201,10,1,1
300,441,28,499,53,51,1006,75,0,2592,10,1,1
145,299,28,2,1,1,697,0,0,1360,10,1,1
0,0,28,70,5,8,1007,2,0,4310,10,1,1
0,0,168,305,4,13,326,0,0,112538,10,1,1
0,0,28,956,0,34,379,0,0,434,10,1,1
0,0,28,543,3911,0,624,141,0,0,10,1,1
0,672,28,37,0,8,618,0,0,0,10,1,1
0,78,362,13,164,1,291,0,0,5,10,1,1
0,107,326,107,30,17,165,2,0,11151,11,0,1
237,564,54,34284,17397,889,191,0,0,191383,10,0,1
272,600,155,273,37,42,568,0,0,10115,10,1,1
0,579,28,8,45,0,335,3,0,5,10,1,1
401,800,28,3459,2282,11,460,3888,0,57256,18,0,1
357,390,28,275,1,2,574,1,0,1961,10,0,1
0,0,28,1325,1797,64,359,0,0,18265,10,0,1
0,697,28,1690,0,38,261,108,0,15530,10,1,1
0,0,28,0,21,0,219,0,0,1,10,1,1
0,656,272,71,0,14,831,0,0,1490,10,1,1
88,200,28,2,501,0,140,102,0,130,10,1,1
363,727,47,4856,2162,85,361,0,0,1223,10,0,1
435,301,28,354,1,47,826,0,0,29635,10,1,1
0,0,28,0,39,0,794,0,0,0,10,1,1
0,355,328,455,480,23,123,42,0,6320,10,1,1
247,348,28,1,341,0,246,44,0,36,10,1,1
102,506,28,0,243,0,207,13,0,18,10,1,1
0,553,113,128,1814,0,510,7,0,18,10,1,1
0,0,28,3,39,0,294,0,0,3,10,1,1
436,304,28,151,1437,0,1010,1,0,5,10,1,1
319,673,34,137,0,24,903,0,0,86797,10,0,1
101,395,307,2108,3,60,352,8,0,49270,11,0,1
0,0,143,153,0,15,654,0,0,2072,10,1,1
0,0,28,0,27,0,999,86,0,127,10,1,1
0,796,28,41,1,11,526,0,0,673,10,1,1
0,602,28,460,65,26,104,14,0,9058,10,1,1
0,809,28,1569,4882,0,540,95,0,112,10,1,1
336,206,28,7852,1,400,912,8,0,27610,10,1,1
0,567,28,50,0,0,440,0,0,926,10,1,1
241,341,28,74,7,27,650,1,0,80949,10,1,1
316,46,136,2108,1,76,665,2,0,5619,10,0,1
118,536,28,0,266,0,92,22,0,35,10,1,1
0,447,227,1474799,1,6818,338,1793,0,20990,10,0,1
0,0,28,396,0,17,905,0,0,3608,10,1,1
48,692,158,166,25,18,319,0,0,3622,12,0,1
0,817,346,5388,0,178,895,0,0,31751,10,0,1
0,165,28,8,1,7,605,0,0,258,11,0,1
0,0,28,8063,1,13,931,42,0,119,10,1,1
0,798,28,148,0,22,1015,0,0,1723,11,0,1
0,37,369,7154703,240,4240,42,640,1,5995,1,0,1
312,411,28,9,484,0,143,87,0,109,10,1,1
360,178,28,47,1,9,658,0,0,2610,11,1,1
98,872,28,3,38,0,234,3,0,5,10,1,1
0,666,28,13,5,4,889,0,0,10693,10,0,1
371,419,342,1655947,0,5482,321,124,0,480858,10,0,1
0,90,165,2149,1,198,739,0,0,3741,10,1,1
160,456,28,1,261,0,90,24,0,21,10,1,1
0,847,28,646,1221,38,347,25654,0,26729,10,0,1
0,400,28,18672,0,252,513,0,0,18270,10,0,1
74,485,28,16,1,11,801,0,0,1237,10,1,1
380,434,28,14,1978,0,60,289,0,426,10,0,1
0,3,369,4,102,0,35,2,0,0,1,1,1
0,110,326,280,48,30,161,3,0,4722,11,0,1
0,698,28,147,0,22,288,0,0,1388,10,1,1
29,204,41,20,0,10,939,0,0,5131,10,0,1
24,28,25,918,0,13,39,2,0,92849,1,1,1
393,0,28,12,64,0,236,0,0,7,18,1,1
0,157,107,1381,0,45,470,0,0,1292,10,1,1
0,0,28,4948,296,15,501,17,0,41190,10,0,1
323,508,28,27,2257,2,66,288,0,323,10,0,1
0,0,28,0,30,0,790,0,0,0,10,1,1
0,0,28,0,18,0,791,0,0,0,10,1,1
0,169,28,0,44,0,505,73,0,106,10,1,1
0,365,28,2,51,0,810,75,0,125,10,1,1
353,464,28,213,213,18,1029,0,0,5988,11,0,1
0,747,286,189,366,0,997,1,0,36,10,1,1
0,0,28,166,1,24,357,0,0,17017,10,0,1
0,690,28,136,1,21,671,5,0,34446,10,0,1
0,530,146,100,1,19,434,257,0,6605,10,1,1
375,0,28,98,274,7,299,1,0,37,10,0,1
406,250,180,90,1,20,547,4,0,6703,10,1,1
309,734,28,7,0,8,689,0,0,5669,10,0,1
325,254,58,292,1,26,546,0,0,1958,10,0,1
403,797,123,4198,3,313,899,15,0,158639,10,1,1
333,586,127,60,0,19,561,0,0,1476,10,1,1
0,0,28,1,74,0,225,0,0,1,10,1,1
0,572,76,4355,2,194,974,3,0,26381,10,0,1
0,228,204,74,0,121,626,0,0,4415,10,1,1
378,724,28,3,270,0,83,19,0,22,10,1,1
265,149,28,3,631,0,457,115,0,177,10,1,1
375,0,70,9,93,0,475,0,0,8,10,1,1
162,364,66,263,13,16,325,0,0,452,10,0,1
187,326,242,8,0,4,1033,0,0,528,10,1,1
0,810,28,30,564,0,948,5,0,22,20,1,1
419,772,119,5528,117,197,622,71,0,5201,10,0,1
107,198,28,1,495,0,142,87,0,97,10,1,1
0,879,28,274,2,14,766,21,0,15340,10,1,1
122,722,141,1640,26,20,696,14,0,19151,10,0,1
0,654,28,689,4,35,608,1,0,46115,10,0,1
17,26,12,647,0,7,33,3,0,75704,1,1,1
290,160,219,1870,4,102,1005,3,0,16468,10,1,1
377,276,28,2,316,0,186,22,0,31,10,1,1
149,59,117,3523,2726,142,1021,32,0,18407,10,0,1
0,132,28,0,10,0,1040,56,0,79,10,1,1
324,635,28,2,362,0,189,34,0,39,10,1,1
77,688,28,33,13,10,168,0,0,1136,10,1,1
0,0,28,7,30,0,131,0,0,2,10,1,1
69,298,112,570,0,40,1027,1,0,5096,10,0,1
375,138,363,993,4992,20,199,8,0,108,10,0,1
0,96,40,3153,103,6295,173,0,0,288368,10,1,1
0,0,257,209,578,0,459,29,0,130,12,1,1
0,449,28,15659,0,380,641,0,0,849518,10,1,1
311,633,28,17,1926,1,76,279,0,369,10,0,1
204,653,331,99,563,1,290,1,0,46,10,1,1
0,548,98,34,1,8,726,0,0,41492,10,0,1
0,0,28,0,37,0,782,0,0,0,10,1,1
137,370,207,492,14,27,922,1,0,107,10,0,1
0,0,28,69,1513,0,651,0,0,1,10,1,1
0,677,28,6,0,6,1034,0,0,1066,10,1,1
159,399,169,43536,1,131,485,1,0,104405,10,0,1
219,112,330,712,623,38,375,1423,0,38905,10,0,1
0,0,28,153,0,7,701,0,0,144271,10,1,1
0,381,28,119,0,11,341,0,0,1761,10,1,1
0,781,28,9,1,9,965,0,0,2983,10,0,1
0,431,239,41,8,0,312,0,0,2,10,1,1
0,865,126,213,0,23,982,0,0,5685,10,1,1
0,715,28,463,14,28,80,4,0,2754,10,1,1
0,0,28,17,215,0,227,0,0,1,10,1,1
0,0,369,90,22,0,1,0,0,29724,0,1,1
194,150,28,93,95,15,585,0,0,23391,10,0,1
153,474,28,20,1867,0,55,286,0,397,10,0,1
362,660,315,153,2,9,857,3,0,391,10,1,1
0,75,171,119,1,21,635,0,0,18719,10,0,1
276,603,28,27,1928,0,49,314,0,355,10,0,1
0,0,369,0,25,0,25,0,0,0,1,1,1
0,384,28,12,0,4,481,0,0,251,10,1,1
188,466,337,978,2104,3,298,3,0,114,10,0,1
0,829,303,575,0,43,571,6,0,4204,10,0,1
0,859,28,1,69,0,506,0,0,11,10,1,1
0,0,28,0,67,0,661,0,0,0,10,1,1
0,0,28,1514,4218,2,371,523,0,522,10,1,1
0,766,51,55,2,4,642,0,0,759,10,1,1
8,11,1,41056,304,39,22,1009,0,63307,1,0,1
416,769,98,2097,4,62,771,0,0,47707,11,0,1
0,7,26,2399,4936,147,9,319,0,5581,1,0,1
0,79,283,27728,65,589,428,452,0,16231,10,0,1
190,519,37,42,0,3,122,1,0,964,10,1,1
0,279,251,110,111,14,578,0,0,3609,10,0,1
0,404,28,4294,7,41,719,134,0,72621,10,0,1
119,497,28,0,264,0,79,11,0,20,10,1,1
0,159,38,340,0,51,1051,0,0,188270,10,1,1
410,571,28,1902,3,447,157,11,0,95201,10,1,1
67,374,203,493,7,28,402,0,0,2964,10,0,1
0,117,156,39,0,14,975,0,0,208,10,0,1
0,576,28,190,657,31,163,39,0,594,10,0,1
51,396,159,557,3,6,418,11,0,440,10,0,1
342,311,56,1651,1,52,523,0,0,1599,10,1,1
0,0,28,202,8,23,396,0,0,2978,10,0,1
0,283,28,986,1,87,632,15734,0,30417,10,1,1
7,21,21,957,2826,39,18,3255,0,4413,1,0,1
169,201,28,3,343,0,183,37,0,41,10,1,1
0,430,28,0,148,0,755,7,0,17,10,1,1
0,807,28,372,4815,0,491,15,0,2,10,1,1
150,314,95,7503,0,122,124,1,0,108527,10,1,1
412,855,188,10407,11555,256,941,0,0,25783,10,0,1
0,636,98,1511,138,101,685,0,0,30161,11,0,1
0,878,187,29,1,9,703,0,0,105,10,1,1
29,320,28,253,0,37,683,0,0,40184,10,1,1
409,111,53,1174,19,58,890,23,0,1145,10,1,1
302,751,243,6805,88,25,1022,0,0,3272,10,1,1
125,210,28,1,280,0,88,19,0,16,10,1,1
0,687,28,943,1,75,849,0,0,14074,10,1,1
425,877,28,79,0,21,865,0,0,40308,10,0,1
0,218,28,302,1,53,751,0,0,2953,10,0,1
21,4,23,10684,158,31,34,41,1,91,1,1,1
173,76,28,75,0,7,669,0,0,6414,10,1,1
0,61,28,158,2410,0,581,0,0,1,10,1,1
0,880,28,7,1,8,761,0,0,5856,10,0,1
288,194,28,1,387,0,282,33,0,44,10,1,1
0,638,226,101,1,19,836,0,0,1281,10,1,1
0,148,348,133,271,0,401,39,0,18,10,0,1
284,852,28,280,0,24,646,0,0,717,10,1,1
341,246,140,299,1,21,655,0,0,3855,10,0,1
0,0,218,3738,7,86,944,24,0,59713,10,1,1
0,327,360,4,0,5,162,0,0,127,10,1,1
0,0,28,1,41,0,295,154,0,1,10,1,1
286,755,150,180,4,7,625,2,0,5265,10,0,1
0,208,28,280,0,28,1035,0,0,6413,10,1,1
349,786,28,36,1,7,1048,0,0,3649,10,0,1
229,532,33,632,0,42,952,0,0,2822,10,1,1
0,686,28,1,30,0,664,98,0,106,10,1,1
37,609,28,371,5,45,862,1,0,70202,10,0,1
0,313,28,17,564,0,643,0,0,4,10,1,1
0,0,28,20,287,0,220,2,0,1,9,1,1
0,868,28,412,15,32,614,0,0,46926,10,0,1
39,271,28,533,0,42,277,0,0,7145,10,1,1
297,753,28,2623,5,52,700,409,0,3952,10,0,1
240,340,28,202,1,28,855,0,0,1678,10,1,1
45,773,28,98,24,7,593,2,0,3336,10,1,1
0,695,28,694,0,54,480,0,0,22368,10,1,1
228,882,28,168,2,18,840,0,0,12406,10,1,1
0,853,28,147,0,31,1017,0,0,96,10,0,1
0,0,28,4087,1,5,594,1,0,3549,10,1,1
423,867,100,75,4,12,979,12,0,1770,10,0,1
261,435,28,8,669,1,452,133,0,177,10,1,1
0,745,28,237,1,32,587,0,0,27579,10,1,1
0,0,28,0,60,0,789,0,0,0,10,1,1
0,0,369,8,91,0,19,0,0,18,6,1,1
0,0,28,702,1359,4,296,0,0,94409,10,0,1
0,94,103,129,4,19,266,0,0,1168,10,1,1
0,63,28,292,2225,0,500,0,0,0,10,1,1
49,127,28,0,461,0,135,64,0,93,10,1,1
106,710,28,4,445,0,150,60,0,80,10,1,1
330,233,28,1,258,0,86,14,0,14,10,1,1
413,64,346,99,0,17,492,0,0,1665,10,0,1
0,719,28,66,2,24,996,0,0,432,10,1,1
16,5,14,752,0,4,5,86,0,21132,1,1,1
0,346,28,15,3,2,582,721,0,854,10,0,1
408,151,352,1902,94,98,879,5,0,21114,10,0,1
437,886,28,5744,3,112,648,2,0,105941,10,1,1
0,0,28,1,162,0,332,0,0,0,10,1,1
0,0,28,8,0,6,565,0,0,41,10,1,1
0,845,28,52,222,0,297,10,0,1,10,1,1
340,728,28,421,1636,34,765,0,0,4701,10,1,1
239,303,102,413,148,37,276,0,0,22,10,0,1
124,582,28,1479,3,11,555,19,0,32440,12,1,1
347,135,28,252,2,38,544,70,0,15823,10,0,1
97,181,110,163,206,11,356,12,0,502,10,1,1
0,0,28,3,30,0,116,0,0,1,10,1,1
0,179,306,65,0,21,634,0,0,10069,10,1,1
0,465,28,6766,3006,169,376,83,0,79860,10,0,1
0,513,28,1637,1770,18,264,2,0,66824,10,0,1
0,642,28,116,0,39,967,0,0,8421,10,1,1
204,0,28,24,712,1,423,2,0,22,11,1,1
168,593,28,239,344,15,385,0,0,9347,10,0,1
0,245,280,8073,1,118,573,0,0,29984,10,0,1
310,587,28,29,97,0,222,0,0,3,10,1,1
0,0,28,0,20,0,792,0,0,0,10,1,1
232,649,235,372,1136,1,106,1,0,46,10,0,1
0,207,28,6,0,5,590,0,0,2751,10,1,1
0,647,32,16748,41,11,959,20542,0,837,10,0,1
